GDP,Tertiary_Education,Cost_buss_proc,Corporate_Tax,Income_Tax,UNEDUC,knowent,opport,suskill,sunewcst,discent,IND_UNK,IND_EXTRAC,IND_TRANS,IND_SERV,IND_CONS,gender,age,age2,TEAyy
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,0,1,2,53,2809,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,0,1,0,1,0,0,0,0,2,21,441,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,0,1,0,0,0,0,0,1,2,27,729,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,1,0,0,1,0,0,2,42,1764,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,1,0,0,0,0,0,1,0,2,50,2500,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,0,0,0,0,0,0,1,2,35,1225,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,1,0,2,49,2401,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,0,0,0,0,0,0,1,2,39,1521,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,0,1,0,0,0,1,0,0,2,34,1156,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,0,1,0,0,0,0,0,1,2,37,1369,1
56812.54,46.51,1.2,2.117,10.565,1,0,1,0,0,0,0,0,0,0,1,2,53,2809,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,0,1,2,32,1024,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,0,1,2,61,3721,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,1,0,1,0,0,0,0,1,2,35,1225,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,0,1,2,38,1444,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,1,0,0,0,0,0,1,2,44,1936,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,0,1,2,61,3721,1
56812.54,46.51,1.2,2.117,10.565,0,0,1,1,1,0,0,0,0,0,1,2,23,529,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,0,0,0,0,0,0,0,1,2,32,1024,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,1,0,0,0,0,0,0,1,2,30,900,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,0,0,0,0,0,0,1,2,36,1296,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,0,1,0,0,0,0,1,0,2,54,2916,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,1,0,0,2,27,729,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,0,0,0,1,0,0,0,2,39,1521,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,1,0,0,0,0,0,1,2,35,1225,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,0,1,0,0,0,0,0,1,2,56,3136,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,1,1,0,0,0,0,1,0,2,18,324,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,1,0,0,0,0,0,0,1,2,18,324,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,1,0,0,0,0,2,33,1089,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,1,0,2,36,1296,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,1,0,0,0,0,0,0,1,2,53,2809,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,1,0,2,70,4900,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,0,1,2,24,576,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,1,0,0,0,0,0,0,1,2,57,3249,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,1,0,1,0,0,0,0,2,34,1156,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,0,1,2,28,784,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,1,1,0,0,0,0,0,1,2,42,1764,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,1,0,2,31,961,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,0,0,0,1,0,0,0,0,2,30,900,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,0,0,0,0,0,0,0,1,2,23,529,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,1,0,0,2,28,784,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,0,0,0,0,0,0,0,1,2,23,529,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,1,1,0,0,0,0,1,2,36,1296,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,0,0,0,0,0,0,0,1,2,38,1444,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,0,0,0,0,0,1,0,0,2,20,400,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,1,0,0,0,0,1,0,0,2,42,1764,1
56812.54,46.51,1.2,2.117,10.565,0,0,1,1,0,0,0,0,0,1,0,2,36,1296,1
56812.54,46.51,1.2,2.117,10.565,0,0,1,1,1,0,0,0,1,0,0,2,21,441,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,1,0,0,0,0,0,1,2,37,1369,1
